Goodreads Quote Id,Author,Book,ISBN,Quote,Tags,Quote Popularity,Order
8630,"Marilyn Monroe","","","I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.","attributed-no-source, best, life, love, mistakes, out-of-control, truth, worst",154920,2

6823431,"J.M. Darhower","Monster in His Eyes (Monster in His Eyes, #1)","","It amazes me, how the pursuit of wisdom tends to turn people into shells of their former selves.","",4,14
7133819,"J.M. Darhower","Monster in His Eyes (Monster in His Eyes, #1)","","Love and hate… it’s not a far stretch from one to the other.  They both take passion, someone getting under your skin and consuming you.  And I ate you alive, sweetheart.  You never had a chance.","",3,15
7133825,"J.M. Darhower","Monster in His Eyes (Monster in His Eyes, #1)","","He set out to destroy me, but he fell in love with me instead.<br/>I fell in love with him, and that’s what destroyed me in the end.","",4,16
8192620,"J.M. Darhower","Monster in His Eyes (Monster in His Eyes, #1)","","Change doesn't happen overnight. There's no button that's pushed to magically alter everything. Change happens little by little. Day by day. Hour by hour. It's the ticking of a secondhand, moving painstakingly, as it makes its way around the clock. You don't realize it until it's already over, the minute gone forever, as you're thrust right into the next one, the time still ticking away, whether you want it to or not. Before long you have a hard time remembering the world as it once was, the person you were then, too focused on the world around you instead.","",2,17
9009564,"J.M. Darhower","Monster in His Eyes (Monster in His Eyes, #1)","","The family we're born into is important, sure, but they're not all we have. They're not all we are. A part of life is making your own family. That's the beauty of it all.","family, own-path, romance",1,18
7536549,"J.M. Darhower","Monster in His Eyes (Monster in His Eyes, #1)","","When you love somebody, you want what's best for them… but when you're in love with them, you want them for yourself. And they're not always the same thing. Just because I want you, doesn't mean I'm the best thing for you… because I'm not. I know I'm not. It isn't easy to reconcile. Because I know I should let you go, should let you walk away from me right now, but I can't do it. I can't. I'm selfish, and I'm in love with you, and I want nothing more than to keep you for myself.","",2,19
7682221,"J.M. Darhower","Monster in His Eyes (Monster in His Eyes, #1)","","Why?""<br/><br/>""Why what?""<br/><br/>""Why me?""<br/><br/>He stares at me for a moment. ""Why not you?","karissa, monster-in-his-eyes, naz",1,20
2002588,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","When you love people, you want what's best for them, and sometimes what's best for them isn't you.","dark",49,21
1638392,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","Perfection doesn't exist,"" I reply. ""It's a mask people wear to conceal their ugly truths. Never trust someone who only ever smiles at you.","",34,22
1509121,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","I'm not a good man,"" he says, ""but I'm trying. I'm trying. I can't make you any promises of perfection. I can't promise I'll be what you deserve, or what you need, or even what you always want. All I can promise is that I'll love you until the day I die, and I'll spend every moment I'm alive trying for you.","",31,23
1509074,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","Grief isn't something you can finish; it isn't something with a beginning and an end. Grief is something you absorb, something you accept. But in order to learn to live with it, you still have to live.","",26,24
1509117,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","People make mistakes. They do things sometimes that you don't like, that you wouldn't do. But that doesn't mean you should give up on them, that you should write them off. Because nobody is hopeless as long as they're still breathing.","",14,25
1520000,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","Every step you take—everywhere you stand—the ground beneath your feet is tainted by some kind of casualty. It's an inescapable fact. Nothing is untouched by death. Nothing.","",11,26
6715576,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","Say what you mean and mean what you say or don't say anything at all.","",13,27
4178852,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","Sometimes secrets have the power to kill. The power to destroy. We each hold nuclear weapons inside of us.","",10,28
4178873,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","We're a tragedy in the making. The game of tug-of-war we're playing will end up destroying us, because she doesn't have it in her to surrender, and I can't let go.","",11,29
3224949,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","They say when seeking revenge, dig two graves, one for you and one for them.","",8,30
6722362,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","it's not the darkness that's terrifying, it's what you might find in it.","",7,31
7486750,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","But sometimes nightmares are simply fueled by fear... fear of something we don't understand. A clown isn't scary when it takes off its makeup. A monster isn't so terrifying when you turn on the light. My enemy was my enemy until I looked inside of her and realized we weren't so different, after all.","",6,32
9009573,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","There's a downside to everything, a dark side to everyone, and those who willingly walk in the shadows are a hell of a lot more convincing than those who only acknowledge the sunshine.","acknowledgement, attitude, romance",6,33
9010473,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","You can't go back and change things once they're done. You can't rewrite history. Dwelling on it, wondering what could've been different, wondering how things might be in a perfect world, is a waste of time. Because this world isn't perfect, life isn't perfect, and it never will be.","fate, flaws, history, life",3,34
7218313,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","I choose my words carefully. Don't say it unless you mean it. You never know when it might be the last thing you ever say.","",5,35
8193271,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","Machiavelli believed it was better to be feared than loved, because attachment is easily severed, but the terror of pain is ever present.","",4,36
8199770,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","I'm fine, Karissa,"" I tell her. ""Good as new."" ""You're delusional."" ""You mispronounced handsome.","",2,37
6722106,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","Rats die. That's just how it is. Loose lips get sewn shut before they're tossed right off the ship.","",2,38
9009575,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","I'd rather have a reason to fight than to just give up right from the start. I don't care if the hope is a lie and I'm just delaying the inevitable… at least give me something to cling to. Something's always better than nothing.","fighting-spirit, love",2,39
9010475,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","Never take back something you meant. I'd rather you offend me intentionally if it's something you believe than lie to my face just to placate me.","relationships, romance",2,40
10241347,"J.M. Darhower","","","She loses it. She cries long and hard. She's in pain. Torture. I can feel it emanating from her. It exists deep down in her soul. It's not about the dog, I know. It isn't even really about her mother, and it certainly isn't her father. It has nothing to do with him. It's not about me, or her, or anyone else. Not about Daniel, or Paul, or Ray. It's about life, and how cruel it can sometimes be...How unfair life is. All of us have a hand in it. We do what we have to do, take what we have to take, and sometimes we hurt people we swear we won't hurt, but we do, because life makes us. It's a dog eat dog world. We're all monsters, when it comes down to it.","life, monsters-within, pain",0,41
10241354,"J.M. Darhower","Torture to Her Soul (Monster in His Eyes, #2)","","I'm going to tell you something that a wise man once told me: it's not the darkness that's terrifying, it's what you might find in it. I was always afraid of the dark as a child, afraid monsters would sneak into my room at night, but now I know there's nothing to fear. Not because monsters don't exist. They do. I've seen them. I've encountered them. One attacked me as I slept. I even became one myself afterward. No, the reason there's nothing to fear in the dark is because real monsters lurk in the light, too. They hide in plain sight. The trick is to find them before they can get you. I'm not a good man. I'm not. I know...I've learned my lesson. I find peace in the darkness sometimes now. I find peace with her. I'll never forget, but she makes me feel like it's okay to remember. It's okay to remember the pain and fear. It's okay to admit the darkness terrified me. Because I found some light in it. I found her.","inspirational, light-and-darkness, monsters",4,42
198041,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","It's a reflex. Hear a bell, get food. See an undead, throw a knife. Same thing, really.","books, humor",548,43
218806,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","Why a raven?""<br/>""To honor my father.""<br/>""The writing under it, is that Cyrillic?""<br/>""Yes.""<br/>""What does it say?""<br/>""Dar Vorona. Gift of the Raven. I am my father's gift.""<br/>""The raven is holding a bloody sword.""<br/>""I never said it was a nice gift.","kate-danials",384,44
